ENCODE.File.Accession.Number,Assay.Name,Assay.Type
ENCFF001SZE,H3K27ac,histone modification
ENCFF001SZF,H3K27me3,histone modification
ENCFF001SZG,H3K36me3,histone modification
ENCFF001SZH,H3K4me1,histone modification
ENCFF001SZI,H3K4me2,histone modification
ENCFF001SZJ,H3K4me3,histone modification
ENCFF001SZK,H3K79me2,histone modification
ENCFF001SZL,H3K9ac,histone modification
ENCFF001SZM,H3K9me1,histone modification
ENCFF001SZN,H3K9me3,histone modification
ENCFF001SZO,H4K20me1,histone modification
ENCFF001XGL,H3K27me3,histone modification
ENCFF001XGO,H3K27me3,histone modification
ENCFF001XGP,H3K36me3,histone modification
ENCFF001XGS,H3K36me3,histone modification
ENCFF001XGT,H3K4me3,histone modification
ENCFF001XGU,H3K4me3,histone modification
ENCFF001VOD,POLR2A,RNA polymerase
ENCFF002CXM,POLR2A,RNA polymerase
ENCFF001VOR,SIRT6,Transcription Factor
ENCFF002CXZ,SIRT6,Transcription Factor
ENCFF002CMO,SP2,Transcription Factor
ENCFF002CLQ,CBX3,Transcription Factor
ENCFF001VNE,GATA2,Transcription Factor
ENCFF002CWQ,GATA2,Transcription Factor
ENCFF001VPN,ZNF274,Transcription Factor
ENCFF002CYT,ZNF274,Transcription Factor
ENCFF001VNC,GATA1,Transcription Factor
ENCFF002CWP,GATA1,Transcription Factor
ENCFF001VOQ,SETDB1,Transcription Factor
ENCFF002CXY,SETDB1,Transcription Factor
ENCFF002CET,POLR2A,RNA polymerase
ENCFF002CML,SIN3A,Transcription Factor
ENCFF001VPD,GTF3C2,Transcription Factor
ENCFF002CYL,GTF3C2,Transcription Factor
ENCFF002CLN,ATF3,Transcription Factor
ENCFF002CEO,HDAC2,Transcription Factor
ENCFF002CEL,CTCF,Transcription Factor
ENCFF001VMU,MYC,Transcription Factor
ENCFF002CWH,MYC,Transcription Factor
ENCFF001VNK,IRF1,Transcription Factor
ENCFF002CWV,IRF1,Transcription Factor
ENCFF001VOK,POLR2AphosphoS2,RNA polymerase
ENCFF002DDU,POLR2AphosphoS2,RNA polymerase
ENCFF001VNZ,NFYB,Transcription Factor
ENCFF002CXJ,NFYB,Transcription Factor
ENCFF001VNB,ELK1,Transcription Factor
ENCFF002CWO,ELK1,Transcription Factor
ENCFF001VPG,UBTF,Transcription Factor
ENCFF002CYO,UBTF,Transcription Factor
ENCFF002CEK,CHD1,Transcription Factor
ENCFF001VNG,GTF2F1,Transcription Factor
ENCFF002CWS,GTF2F1,Transcription Factor
ENCFF001VPL,ZNF143,Transcription Factor
ENCFF002CYR,ZNF143,Transcription Factor
ENCFF002CMS,TAF7,Transcription Factor
ENCFF002CLO,BCL3,Transcription Factor
ENCFF001VNF,GTF2B,Transcription Factor
ENCFF002CWR,GTF2B,Transcription Factor
ENCFF001VMM,JUN,Transcription Factor
ENCFF002CWA,JUN,Transcription Factor
ENCFF002CMI,POLR2A,RNA polymerase
ENCFF001VMQ,MYC,Transcription Factor
ENCFF002CWD,MYC,Transcription Factor
ENCFF001VPO,ZNF274,Transcription Factor
ENCFF002CYU,ZNF274,Transcription Factor
ENCFF001VRJ,eGFP-HDAC8,Transcription Factor
ENCFF002DDX,eGFP-HDAC8,Transcription Factor
ENCFF002CMN,SP1,Transcription Factor
ENCFF001VRK,eGFP-JUNB,Transcription Factor
ENCFF002DDY,eGFP-JUNB,Transcription Factor
ENCFF001VOP,SETDB1,Transcription Factor
ENCFF002CXX,SETDB1,Transcription Factor
ENCFF001VNA,E2F6,Transcription Factor
ENCFF002CWN,E2F6,Transcription Factor
ENCFF001VMY,E2F4,Transcription Factor
ENCFF002CWM,E2F4,Transcription Factor
ENCFF002CMY,ZBTB33,Transcription Factor
ENCFF002CLV,EGR1,Transcription Factor
ENCFF001VMV,MYC,Transcription Factor
ENCFF002CWI,MYC,Transcription Factor
ENCFF002CMJ,SPI1,Transcription Factor
ENCFF002CMA,GATA2,Transcription Factor
ENCFF001VNI,HMGN3,Transcription Factor
ENCFF002CWT,HMGN3,Transcription Factor
ENCFF001VOY,STAT2,Transcription Factor
ENCFF002CYG,STAT2,Transcription Factor
ENCFF002CLR,CEBPB,Transcription Factor
ENCFF001VOI,POLR2A,RNA polymerase
ENCFF002CXR,POLR2A,RNA polymerase
ENCFF002CME,NR2F2,Transcription Factor
ENCFF002CMB,HDAC2,Transcription Factor
ENCFF001UTC,MYC,Transcription Factor
ENCFF002DBC,MYC,Transcription Factor
ENCFF001UTE,CTCF,Transcription Factor
ENCFF002DBD,CTCF,Transcription Factor
ENCFF002CMD,MEF2A,Transcription Factor
ENCFF002CLW,ELF1,Transcription Factor
ENCFF001VPM,ZNF263,Transcription Factor
ENCFF002CYS,ZNF263,Transcription Factor
ENCFF001VLZ,BACH1,Transcription Factor
ENCFF002CVO,BACH1,Transcription Factor
ENCFF001VPQ,ZMIZ1,Transcription Factor
ENCFF001VPB,TBL1XR1,Transcription Factor
ENCFF002CYJ,TBL1XR1,Transcription Factor
ENCFF001VNH,HCFC1,Transcription Factor
ENCFF001VMW,RCOR1,Transcription Factor
ENCFF002CWJ,RCOR1,Transcription Factor
ENCFF001VND,GATA1,Transcription Factor
ENCFF001VNR,MAFK,Transcription Factor
ENCFF002CXC,MAFK,Transcription Factor
ENCFF001VOH,POLR2A,RNA polymerase
ENCFF002CXQ,POLR2A,RNA polymerase
ENCFF001VOA,NRF1,Transcription Factor
ENCFF002CXK,NRF1,Transcription Factor
ENCFF001VMB,BHLHE40,Transcription Factor
ENCFF002CVQ,BHLHE40,Transcription Factor
ENCFF001VPA,TBL1XR1,Transcription Factor
ENCFF002CYI,TBL1XR1,Transcription Factor
ENCFF001VNL,IRF1,Transcription Factor
ENCFF002CWW,IRF1,Transcription Factor
ENCFF001VOW,STAT1,Transcription Factor
ENCFF002CYE,STAT1,Transcription Factor
ENCFF001VMJ,CHD2,Transcription Factor
ENCFF002CVX,CHD2,Transcription Factor
ENCFF001VMZ,CTCF,Transcription Factor
ENCFF002CWL,CTCF,Transcription Factor
ENCFF001VNM,IRF1,Transcription Factor
ENCFF002CWX,IRF1,Transcription Factor
ENCFF001VOM,RAD21,Transcription Factor
ENCFF002CXU,RAD21,Transcription Factor
ENCFF002CLY,FOSL1,Transcription Factor
ENCFF001XST,CTCF,Transcription Factor
ENCFF001XSU,CTCF,Transcription Factor
ENCFF002DDJ,CTCF,Transcription Factor
ENCFF002CMT,TEAD4,Transcription Factor
ENCFF001VPE,NR2C2,Transcription Factor
ENCFF002CYM,NR2C2,Transcription Factor
ENCFF002CMH,POLR2AphosphoS5,RNA polymerase
ENCFF002CMM,SIX5,Transcription Factor
ENCFF001VLX,ATF1,Transcription Factor
ENCFF002CVM,ATF1,Transcription Factor
ENCFF001VRL,eGFP-JUND,Transcription Factor
ENCFF002DDZ,eGFP-JUND,Transcription Factor
ENCFF002CMK,RAD21,Transcription Factor
ENCFF001VMH,FOS,Transcription Factor
ENCFF002CVW,FOS,Transcription Factor
ENCFF001VOX,STAT2,Transcription Factor
ENCFF002CYF,STAT2,Transcription Factor
ENCFF001VOU,STAT1,Transcription Factor
ENCFF002CYC,STAT1,Transcription Factor
ENCFF002CMX,YY1,Transcription Factor
ENCFF001VNO,TRIM28,Transcription Factor
ENCFF002CXA,TRIM28,Transcription Factor
ENCFF001VOE,POLR2A,RNA polymerase
ENCFF002CXN,POLR2A,RNA polymerase
ENCFF002CEV,SAP30,Transcription Factor
ENCFF001VME,SMARCA4,Transcription Factor
ENCFF002CVT,SMARCA4,Transcription Factor
ENCFF001VNP,JUND,Transcription Factor
ENCFF002CWZ,JUND,Transcription Factor
ENCFF001VMG,CUX1,Transcription Factor
ENCFF001VPC,TBP,Transcription Factor
ENCFF002CYK,TBP,Transcription Factor
ENCFF001VOC,EP300,Transcription Factor
ENCFF002CXL,EP300,Transcription Factor
ENCFF001VOB,EP300,Transcription Factor
ENCFF001VPF,UBTF,Transcription Factor
ENCFF002CYN,UBTF,Transcription Factor
ENCFF001VMK,JUN,Transcription Factor
ENCFF002CVY,JUN,Transcription Factor
ENCFF001VOT,SMC3,Transcription Factor
ENCFF002CYA,SMC3,Transcription Factor
ENCFF001VPH,USF2,Transcription Factor
ENCFF002CYP,USF2,Transcription Factor
ENCFF001VNV,MXI1,Transcription Factor
ENCFF002CXF,MXI1,Transcription Factor
ENCFF002CEN,HDAC1,Transcription Factor
ENCFF002CEM,EZH2,Transcription Factor
ENCFF002CEQ,EP300,Transcription Factor
ENCFF002CES,KDM5B,Transcription Factor
ENCFF002CLU,E2F6,Transcription Factor
ENCFF001VOS,STAT1,Transcription Factor
ENCFF002CYB,STAT1,Transcription Factor
ENCFF001VOO,POLR3A,RNA polymerase
ENCFF002CXW,POLR3A,RNA polymerase
ENCFF001VPJ,YY1,Transcription Factor
ENCFF002CYQ,YY1,Transcription Factor
ENCFF001VRH,eGFP-FOS,Transcription Factor
ENCFF002DDV,eGFP-FOS,Transcription Factor
ENCFF002CMZ,ZBTB7A,Transcription Factor
ENCFF001VMC,BRF1,Transcription Factor
ENCFF002CVR,BRF1,Transcription Factor
ENCFF001VMT,MYC,Transcription Factor
ENCFF002CWG,MYC,Transcription Factor
ENCFF001VRM,eGFP-NR4A1,Transcription Factor
ENCFF002CMV,USF1,Transcription Factor
ENCFF001VRI,eGFP-GATA2,Transcription Factor
ENCFF002DDW,eGFP-GATA2,Transcription Factor
ENCFF002CLS,CTCF,Transcription Factor
ENCFF002CLX,ETS1,Transcription Factor
ENCFF001VNX,NFE2,Transcription Factor
ENCFF002CXH,NFE2,Transcription Factor
ENCFF002CMQ,STAT5A,Transcription Factor
ENCFF002CMF,REST,Transcription Factor
ENCFF001UTF,POLR2A,RNA polymerase
ENCFF002DBE,POLR2A,RNA polymerase
ENCFF001VNT,MAX,Transcription Factor
ENCFF001VMR,MYC,Transcription Factor
ENCFF002CWE,MYC,Transcription Factor
ENCFF002CLZ,GABPA,Transcription Factor
ENCFF002CMC,MAX,Transcription Factor
ENCFF001VML,JUN,Transcription Factor
ENCFF002CVZ,JUN,Transcription Factor
ENCFF002CMP,SRF,Transcription Factor
ENCFF002CMG,PML,Transcription Factor
ENCFF002CER,PHF8,Transcription Factor
ENCFF001VPP,ZNF384,Transcription Factor
ENCFF001VOJ,POLR2AphosphoS2,RNA polymerase
ENCFF002CXS,POLR2AphosphoS2,RNA polymerase
ENCFF001VOZ,TAL1,Transcription Factor
ENCFF002CYH,TAL1,Transcription Factor
ENCFF001VOL,POLR3G,RNA polymerase
ENCFF002CXT,POLR3G,RNA polymerase
ENCFF001VMI,CEBPB,Transcription Factor
ENCFF002CVV,CEBPB,Transcription Factor
ENCFF001VLW,ARID3A,Transcription Factor
ENCFF002CVL,ARID3A,Transcription Factor
ENCFF001VNY,NFYA,Transcription Factor
ENCFF002CXI,NFYA,Transcription Factor
ENCFF001VNN,IRF1,Transcription Factor
ENCFF002CWY,IRF1,Transcription Factor
ENCFF001VMX,RCOR1,Transcription Factor
ENCFF002CWK,RCOR1,Transcription Factor
ENCFF001VNS,MAX,Transcription Factor
ENCFF002CXD,MAX,Transcription Factor
ENCFF001VMN,JUN,Transcription Factor
ENCFF002CWB,JUN,Transcription Factor
ENCFF002CLT,CTCFL,Transcription Factor
ENCFF001VMD,BRF2,Transcription Factor
ENCFF002CVS,BRF2,Transcription Factor
ENCFF001VMA,BDP1,Transcription Factor
ENCFF002CVP,BDP1,Transcription Factor
ENCFF001VPI,XRCC4,Transcription Factor
ENCFF002CMW,YY1,Transcription Factor
ENCFF001VOG,POLR2A,RNA polymerase
ENCFF002CXP,POLR2A,RNA polymerase
ENCFF001VLY,ATF3,Transcription Factor
ENCFF002CVN,ATF3,Transcription Factor
ENCFF001VMP,JUN,Transcription Factor
ENCFF002CWC,JUN,Transcription Factor
ENCFF002CMR,TAF1,Transcription Factor
ENCFF001VMF,CCNT2,Transcription Factor
ENCFF002CVU,CCNT2,Transcription Factor
ENCFF002CMU,THAP1,Transcription Factor
ENCFF001VOF,POLR2A,RNA polymerase
ENCFF002CXO,POLR2A,RNA polymerase
ENCFF001VMS,MYC,Transcription Factor
ENCFF002CWF,MYC,Transcription Factor
ENCFF001VMO,JUN,Transcription Factor
ENCFF002CEP,HDAC6,Transcription Factor
ENCFF002CEU,RBBP5,Transcription Factor
ENCFF001VON,RFX5,Transcription Factor
ENCFF002CXV,RFX5,Transcription Factor
ENCFF001VNQ,MAFF,Transcription Factor
ENCFF002CXB,MAFF,Transcription Factor
ENCFF001VNJ,SMARCB1,Transcription Factor
ENCFF002CWU,SMARCB1,Transcription Factor
ENCFF001VOV,STAT1,Transcription Factor
ENCFF002CYD,STAT1,Transcription Factor
